exp_series;exp_id;person;Box_location;DNA_Box_Label;Sample_describtion;date;biol_rep;prop_life;PMA;DNA_diluted;pma_conc;Ct;tech_duplo;copies_100ml;copies_ml;marker;primers;protocol;standard;PCR_datum;location_cfx_files;well_id;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_02;20230113;1;10;no PMA;100;40 uM;12,79;2;NA;1461536,33;16S;338F_518R;standaard;QST006;to be filled;to be filled;E10;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_03;20230113;1;1;no PMA;100;40 uM;13,15;1;NA;1135801,28;16S;338F_518R;standaard;QST006;to be filled;to be filled;E11;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_03;20230113;1;1;no PMA;100;40 uM;13,09;2;NA;1185772,58;16S;338F_518R;standaard;QST006;to be filled;to be filled;E12;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_04;20230113;1;0;no PMA;100;40 uM;12,93;1;NA;1326090,24;16S;338F_518R;standaard;QST006;to be filled;to be filled;F01;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_04;20230113;1;0;no PMA;100;40 uM;13,16;2;NA;1125700,70;16S;338F_518R;standaard;QST006;to be filled;to be filled;F02;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_05;20230113;1;100;PMA;100;40 uM;12,48;1;NA;1806202,45;16S;338F_518R;standaard;QST006;to be filled;to be filled;F03;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_05;20230113;1;100;PMA;100;40 uM;12,49;2;NA;1800532,60;16S;338F_518R;standaard;QST006;to be filled;to be filled;F04;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_06;20230113;1;10;PMA;100;40 uM;15,68;1;NA;194056,95;16S;338F_518R;standaard;QST006;to be filled;to be filled;F05;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_06;20230113;1;10;PMA;100;40 uM;15,68;2;NA;194591,51;16S;338F_518R;standaard;QST006;to be filled;to be filled;F06;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_07;20230113;1;1;PMA;100;40 uM;17,65;1;NA;49079,16;16S;338F_518R;standaard;QST006;to be filled;to be filled;F07;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_07;20230113;1;1;PMA;100;40 uM;17,70;2;NA;47549,76;16S;338F_518R;standaard;QST006;to be filled;to be filled;F08;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_08;20230113;1;0;PMA;100;40 uM;15,89;1;NA;167708,67;16S;338F_518R;standaard;QST006;to be filled;to be filled;F09;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_08;20230113;1;0;PMA;100;40 uM;15,89;2;NA;168111,40;16S;338F_518R;standaard;QST006;to be filled;to be filled;F10;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_09;20230116;2;100;no PMA;100;40 uM;13,00;1;NA;1785643,75;16S;338F_518R;standaard;QST006;to be filled;to be filled;E07;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_09;20230116;2;100;no PMA;100;40 uM;13,09;2;NA;1677200,04;16S;338F_518R;standaard;QST006;to be filled;to be filled;E08;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_10;20230116;2;10;no PMA;100;40 uM;14,14;1;NA;792811,01;16S;338F_518R;standaard;QST006;to be filled;to be filled;E09;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_10;20230116;2;10;no PMA;100;40 uM;14,22;2;NA;747429,80;16S;338F_518R;standaard;QST006;to be filled;to be filled;E10;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_11;20230116;2;1;no PMA;100;40 uM;13,71;1;NA;1074315,98;16S;338F_518R;standaard;QST006;to be filled;to be filled;E11;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_11;20230116;2;1;no PMA;100;40 uM;13,73;2;NA;1059186,97;16S;338F_518R;standaard;QST006;to be filled;to be filled;E12;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_12;20230116;2;0;no PMA;100;40 uM;13,86;1;NA;966688,13;16S;338F_518R;standaard;QST006;to be filled;to be filled;F01;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_12;20230116;2;0;no PMA;100;40 uM;13,86;2;NA;967238,55;16S;338F_518R;standaard;QST006;to be filled;to be filled;F02;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_13;20230116;2;100;PMA;100;40 uM;13,00;1;NA;1788840,03;16S;338F_518R;standaard;QST006;to be filled;to be filled;F03;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_13;20230116;2;100;PMA;100;40 uM;12,84;2;NA;1996882,80;16S;338F_518R;standaard;QST006;to be filled;to be filled;F04;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_14;20230116;2;10;PMA;100;40 uM;15,80;1;NA;242090,77;16S;338F_518R;standaard;QST006;to be filled;to be filled;F05;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_14;20230116;2;10;PMA;100;40 uM;15,81;2;NA;239744,46;16S;338F_518R;standaard;QST006;to be filled;to be filled;F06;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_15;20230116;2;1;PMA;100;40 uM;19,71;1;NA;14819,56;16S;338F_518R;standaard;QST006;to be filled;to be filled;F07;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_15;20230116;2;1;PMA;100;40 uM;19,64;2;NA;15594,76;16S;338F_518R;standaard;QST006;to be filled;to be filled;F08;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_16;20230116;2;0;PMA;100;40 uM;19,45;1;NA;17854,78;16S;338F_518R;standaard;QST006;to be filled;to be filled;F09;;
Cell_density_effect;E.coli_high;Klaske_Osinga;to be filled;to be filled;KOSI_conc_exp_16;20230116;2;0;PMA;100;40 uM;19,32;2;NA;19638,18;16S;338F_518R;standaard;QST006;to be filled;to be filled;F10;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
